都市名,鄉鎮區名,郵遞區號,是否為都會區,,,,,,,,,,,,,,,,,,,,,,
臺北市,中正區,100,Y,,,,,,,,,,,,,,,,,,,,,,
臺北市,大同區,103,Y,,,,,,,,,,,,,,,,,,,,,,
臺北市,中山區,104,Y,,,,,,,,,,,,,,,,,,,,,,
臺北市,松山區,105,Y,,,,,,,,,,,,,,,,,,,,,,
臺北市,大安區,106,Y,,,,,,,,,,,,,,,,,,,,,,
臺北市,萬華區,108,Y,,,,,,,,,,,,,,,,,,,,,,
臺北市,信義區,110,Y,,,,,,,,,,,,,,,,,,,,,,
臺北市,士林區,111,Y,,,,,,,,,,,,,,,,,,,,,,
臺北市,北投區,112,Y,,,,,,,,,,,,,,,,,,,,,,
臺北市,內湖區,114,Y,,,,,,,,,,,,,,,,,,,,,,
臺北市,南港區,115,Y,,,,,,,,,,,,,,,,,,,,,,
臺北市,文山區,116,Y,,,,,,,,,,,,,,,,,,,,,,
基隆市,仁愛區,200,Y,,,,,,,,,,,,,,,,,,,,,,
基隆市,信義區,201,Y,,,,,,,,,,,,,,,,,,,,,,
基隆市,中正區,202,Y,,,,,,,,,,,,,,,,,,,,,,
基隆市,中山區,203,Y,,,,,,,,,,,,,,,,,,,,,,
基隆市,安樂區,204,Y,,,,,,,,,,,,,,,,,,,,,,
基隆市,暖暖區,205,Y,,,,,,,,,,,,,,,,,,,,,,
基隆市,七堵區,206,Y,,,,,,,,,,,,,,,,,,,,,,
新北市,萬里區,207,N,,,,,,,,,,,,,,,,,,,,,,
新北市,金山區,208,N,,,,,,,,,,,,,,,,,,,,,,
新北市,板橋區,220,Y,,,,,,,,,,,,,,,,,,,,,,
新北市,汐止區,221,Y,,,,,,,,,,,,,,,,,,,,,,
新北市,深坑區,222,Y,,,,,,,,,,,,,,,,,,,,,,
新北市,石碇區,223,N,,,,,,,,,,,,,,,,,,,,,,
新北市,瑞芳區,224,N,,,,,,,,,,,,,,,,,,,,,,
新北市,平溪區,226,N,,,,,,,,,,,,,,,,,,,,,,
新北市,雙溪區,227,N,,,,,,,,,,,,,,,,,,,,,,
新北市,貢寮區,228,N,,,,,,,,,,,,,,,,,,,,,,
新北市,新店區,231,Y,,,,,,,,,,,,,,,,,,,,,,
新北市,坪林區,232,N,,,,,,,,,,,,,,,,,,,,,,
新北市,烏來區,233,N,,,,,,,,,,,,,,,,,,,,,,
新北市,永和區,234,Y,,,,,,,,,,,,,,,,,,,,,,
新北市,中和區,235,Y,,,,,,,,,,,,,,,,,,,,,,
新北市,土城區,236,Y,,,,,,,,,,,,,,,,,,,,,,
新北市,三峽區,237,Y,,,,,,,,,,,,,,,,,,,,,,
新北市,樹林區,238,Y,,,,,,,,,,,,,,,,,,,,,,
新北市,鶯歌區,239,Y,,,,,,,,,,,,,,,,,,,,,,
新北市,三重區,241,Y,,,,,,,,,,,,,,,,,,,,,,
新北市,新莊區,242,Y,,,,,,,,,,,,,,,,,,,,,,
新北市,泰山區,243,Y,,,,,,,,,,,,,,,,,,,,,,
新北市,林口區,244,Y,,,,,,,,,,,,,,,,,,,,,,
新北市,蘆洲區,247,Y,,,,,,,,,,,,,,,,,,,,,,
新北市,五股區,248,Y,,,,,,,,,,,,,,,,,,,,,,
新北市,八里區,249,Y,,,,,,,,,,,,,,,,,,,,,,
新北市,淡水區,251,Y,,,,,,,,,,,,,,,,,,,,,,
新北市,三芝區,252,N,,,,,,,,,,,,,,,,,,,,,,
新北市,石門區,253,N,,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,宜   蘭,260,N,,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,頭   城,261,N,,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,礁   溪,262,N,,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,壯   圍,263,N,,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,員   山,264,N,,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,羅   東,265,N,,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,三   星,266,N,,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,大   同,267,N,,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,五   結,268,N,,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,冬   山,269,N,,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,蘇   澳,270,N,,,,,,,,,,,,,,,,,,,,,,
