date,city,rainfall
1/1/2018,宜蘭縣,3.5
1/1/2018,花蓮縣,0
1/1/2018,金門縣,0
1/1/2018,南投縣,0
1/1/2018,屏東縣,0
1/1/2018,苗栗縣,0
1/1/2018,桃園市,0
1/1/2018,高雄市,0
1/1/2018,基隆市,1
1/1/2018,連江縣,0
1/1/2018,雲林縣,0
1/1/2018,新北市,0
1/1/2018,新竹縣,0
1/1/2018,嘉義縣,0
1/1/2018,彰化縣,0
1/1/2018,臺中市,0
1/1/2018,臺北市,0
1/1/2018,臺東縣,0
1/1/2018,臺南市,0
1/1/2018,澎湖縣,0
1/2/2018,宜蘭縣,3.2
1/2/2018,花蓮縣,6
1/2/2018,金門縣,0
1/2/2018,南投縣,0
1/2/2018,屏東縣,0
1/2/2018,苗栗縣,0
1/2/2018,桃園市,0
1/2/2018,高雄市,0
1/2/2018,基隆市,0.5
1/2/2018,連江縣,0
1/2/2018,雲林縣,0
1/2/2018,新北市,0
1/2/2018,新竹縣,0
1/2/2018,嘉義縣,0
1/2/2018,彰化縣,0
1/2/2018,臺中市,0
1/2/2018,臺北市,0
1/2/2018,臺東縣,0.1
1/2/2018,臺南市,0
1/2/2018,澎湖縣,0
1/3/2018,宜蘭縣,1
1/3/2018,花蓮縣,0.09
1/3/2018,金門縣,0
1/3/2018,南投縣,0
1/3/2018,屏東縣,0
1/3/2018,苗栗縣,0
1/3/2018,桃園市,0
1/3/2018,高雄市,0
1/3/2018,基隆市,0
1/3/2018,連江縣,0
1/3/2018,雲林縣,0
1/3/2018,新北市,0
1/3/2018,新竹縣,0
1/3/2018,嘉義縣,0
1/3/2018,彰化縣,0
1/3/2018,臺中市,0
1/3/2018,臺北市,0
1/3/2018,臺東縣,0.09
1/3/2018,臺南市,0
1/3/2018,澎湖縣,0
1/4/2018,宜蘭縣,0.1
1/4/2018,花蓮縣,1
1/4/2018,金門縣,0.1
1/4/2018,南投縣,2.5
1/4/2018,屏東縣,8
1/4/2018,苗栗縣,0.5
1/4/2018,桃園市,0.5
1/4/2018,高雄市,7
1/4/2018,基隆市,0.09
1/4/2018,連江縣,0.1
1/4/2018,雲林縣,3.5
1/4/2018,新北市,0.5
1/4/2018,新竹縣,0.5
